language,market,keyword,search_volume,competition,competition_index,cpc,score
German,Germany,strichcode generator,1600,LOW,13,0.83,150
German,Germany,barcode erstellen,3600,LOW,32,1.7,149
German,Germany,strichcode erstellen,1000,LOW,8,1.29,149
Dutch,Netherlands,ean 13 generator,590,LOW,15,3.22,145
Italian,Italy,generatore codici a barre,1000,LOW,14,0.88,142
Portuguese,Brazil,gerador de codigos de barras,590,LOW,3,0.58,142
Dutch,Netherlands,barcode maken,1000,LOW,23,1.61,138
Polish,Poland,generator data matrix,320,LOW,4,0.99,134
Polish,Poland,generator barcode,320,LOW,2,0.33,133
Dutch,Netherlands,qr code generator,33100,MEDIUM,61,2.18,132
Turkish,Turkey,barkod olusturucu,880,LOW,20,0.39,132
German,Germany,code 128 generator,390,LOW,9,0.81,132
Portuguese,Brazil,gerador ean 13,320,LOW,4,0.59,132
Polish,Poland,generator code 128,260,LOW,3,0.86,132
Portuguese,Brazil,gerador de qr code,74000,MEDIUM,66,0.36,131
Dutch,Netherlands,streepjescode maken,320,LOW,11,1.48,131
Spanish,Spain,generador ean 13,260,LOW,2,,128
Japanese,Japan,バーコードジェネレーター,210,LOW,1,,126
Polish,Poland,generator ean 13,90,LOW,3,2.74,126
Turkish,Turkey,qr kod oluşturucu,40500,MEDIUM,64,0.64,125
Turkish,Turkey,qr kod oluşturma,40500,MEDIUM,64,0.64,125
Dutch,Netherlands,data matrix generator,140,LOW,10,2.54,125
French,France,generateur ean 13,110,LOW,8,2.92,125
Japanese,Japan,code128 作成,170,LOW,1,,123
German,Germany,isbn barcode generator,140,LOW,6,1.43,123
Indonesian,Indonesia,buat barcode,18100,MEDIUM,53,0.04,120
German,Germany,pdf417 generator,50,LOW,2,2.69,119
Japanese,Japan,data matrix 作成,110,LOW,1,,117
Portuguese,Brazil,gerador qr code,9900,MEDIUM,49,0.38,116
Dutch,Netherlands,code 128 generator,70,LOW,9,2.45,116
Italian,Italy,generatore ean 13,110,LOW,6,0.53,115
Spanish,Spain,generador qr,18100,MEDIUM,65,1,114
German,Germany,gs1 128 generator,50,LOW,18,4.64,114
Polish,Poland,generator kodu qr,2900,MEDIUM,40,1.59,111
French,France,generateur code 128,40,LOW,4,1.76,110
Arabic,Saudi Arabia,انشاء باركود,12100,MEDIUM,61,0.37,108
French,France,generateur qr code,9900,MEDIUM,63,1.31,108
German,Germany,upc generator,70,LOW,9,0.93,108
Spanish,Spain,crear codigo qr,8100,MEDIUM,59,1.03,107
Italian,Italy,generatore isbn,50,LOW,1,,106
Indonesian,Indonesia,generator code 128,50,LOW,2,,105
French,France,generateur de qr code,9900,MEDIUM,66,1.19,104
French,France,generateur isbn,50,LOW,4,,104
Spanish,Spain,generador isbn,40,LOW,0,,104
Japanese,Japan,pdf417 作成,40,LOW,0,,104
Indonesian,Indonesia,buat qr code,12100,MEDIUM,65,0.12,103
Indonesian,Indonesia,pembuat barcode,2900,MEDIUM,43,0.04,101
Spanish,Mexico,generador ean 13,30,LOW,0,,101
Spanish,Mexico,generador upc,30,LOW,1,,100
Indonesian,Indonesia,generator pdf417,30,LOW,2,,99
Italian,Italy,generatore qr code,5400,MEDIUM,64,1.42,98
Portuguese,Brazil,gerador isbn,20,LOW,0,,97
Italian,Italy,creare qr code,3600,MEDIUM,65,2.15,95
Japanese,Japan,qrコードジェネレーター,1000,MEDIUM,38,1,94
Portuguese,Brazil,gerador code 128,20,LOW,3,,94
Polish,Poland,generator pdf417,20,LOW,3,,94
Spanish,Mexico,generador pdf417,10,LOW,0,,91
Spanish,Mexico,generador isbn,10,LOW,0,,91
Spanish,Spain,generador code 128,10,LOW,0,,91
Spanish,Spain,generador pdf417,10,LOW,0,,91
Spanish,Spain,generador upc,10,LOW,0,,91
Polish,Poland,generator gs1 128,10,LOW,0,,91
Spanish,Spain,generador de codigos qr,2400,MEDIUM,58,0.98,89
Spanish,Spain,generador de codigo qr,2400,MEDIUM,58,0.98,89
Spanish,Mexico,generador code 128,10,LOW,6,0.52,88
Italian,Italy,generatore upc,10,LOW,4,,87
Indonesian,Indonesia,pembuat qr code,2400,MEDIUM,62,0.05,81
French,France,generateur data matrix,10,LOW,22,2.13,81
Dutch,Netherlands,gs1 128 generator,10,LOW,25,2.6,81
Italian,Italy,generatore codice qr,1600,MEDIUM,63,1.23,80
Indonesian,Indonesia,generator qr code,1300,MEDIUM,55,0.06,78
Dutch,Netherlands,pdf417 generator,10,LOW,14,,78
Polish,Poland,generator kodow qr,1000,MEDIUM,66,1.75,73
Indonesian,Indonesia,pembuat kode qr,720,MEDIUM,58,0.04,66
Arabic,Saudi Arabia,مولد باركود,320,MEDIUM,46,0.28,66
German,Germany,qr code erstellen,90500,HIGH,71,2.56,62
Portuguese,Brazil,criar qr code,60500,HIGH,69,0.4,47
Dutch,Netherlands,qr code maken,27100,HIGH,69,2.2,44
German,Germany,qr code generieren,12100,HIGH,73,2.49,30
Spanish,Mexico,generador qr,18100,HIGH,70,0.59,29
Spanish,Mexico,crear codigo qr,14800,HIGH,73,0.56,23
Spanish,Mexico,generador de codigos qr,9900,HIGH,69,0.63,21
Spanish,Mexico,generador de codigo qr,9900,HIGH,69,0.63,21
Turkish,Turkey,qr kod olusturucu,10,MEDIUM,62,0.68,11
French,France,creer qr code,3600,HIGH,72,1.62,8
Dutch,Netherlands,qr code aanmaken,880,HIGH,72,3.13,-6
Indonesian,Indonesia,generator ean 13,10,,,,-14
Spanish,Mexico,generador data matrix,0,,,,-25
Spanish,Mexico,generador gs1 128,0,,,,-25
Spanish,Spain,generador data matrix,0,,,,-25
Spanish,Spain,generador gs1 128,0,,,,-25
Portuguese,Brazil,gerador data matrix,0,,,,-25
Portuguese,Brazil,gerador pdf417,0,,,,-25
Portuguese,Brazil,gerador gs1 128,0,,,,-25
Portuguese,Brazil,gerador upc,0,,,,-25
French,France,generateur pdf417,0,,,,-25
French,France,generateur gs1 128,0,,,,-25
French,France,generateur upc,0,,,,-25
Italian,Italy,generatore code 128,0,,,,-25
Italian,Italy,generatore data matrix,0,,,,-25
Italian,Italy,generatore pdf417,0,,,,-25
Italian,Italy,generatore gs1 128,0,,,,-25
Polish,Poland,utworz kod qr,0,,,,-25
Turkish,Turkey,karekod olusturucu,0,,,,-25
Turkish,Turkey,karekod oluşturucu,0,,,,-25
Turkish,Turkey,ean 13 oluşturucu,0,,,,-25
Turkish,Turkey,code 128 oluşturucu,0,,,,-25
Turkish,Turkey,data matrix oluşturucu,0,,,,-25
Turkish,Turkey,pdf417 oluşturucu,0,,,,-25
Indonesian,Indonesia,generator kode batang,0,,,,-25
Japanese,Japan,ean 13 作成,0,,,,-25
Arabic,Saudi Arabia,مولد qr code,0,,,,-25
Arabic,Saudi Arabia,مولد رمز qr,0,,,,-25
Arabic,Saudi Arabia,منشئ باركود,0,,,,-25
Arabic,Saudi Arabia,مولد باركود ean 13,0,,,,-25
Arabic,Saudi Arabia,مولد code 128,0,,,,-25
Arabic,Saudi Arabia,مولد data matrix,0,,,,-25
Arabic,Saudi Arabia,مولد pdf417,0,,,,-25
Arabic,Saudi Arabia,مولد باركود فاتورة,0,,,,-25
Arabic,Saudi Arabia,انشاء رمز qr,70,HIGH,73,1.21,-53
Arabic,Saudi Arabia,zatca qr code generator,20,HIGH,71,3.49,-55
